word,pos,score
떼쓰다,Verb,-0.4
젖다,Verb,0.05
끈질기다,Adjective,0.025
파여지다,Verb,-0.166666667
허비하다,Adjective,-0.275
삭막하다,Adjective,-0.3
차근차근하다,Adjective,0.475
구기다,Verb,-0.275
빠져들다,Verb,0.4
일축하다,Verb,-0.025
앗다,Verb,-0.3
파지다,Verb,-0.194444444
처절하다,Adjective,-0.175
키우다,Verb,0.375
나쁘다,Adjective,-0.625
뛰어들다,Verb,-0.025
대단하다,Adjective,0.65
찌들다,Verb,-0.3
떠내려가다,Verb,-0.15
희미하다,Adjective,-0.175
가혹하다,Adjective,-0.5
순결하다,Adjective,0.3
넘어지다,Verb,-0.4
나가다,Verb,0
날아다니다,Verb,0.375
자극시키다,Verb,0.125
알차다,Adjective,0.55
도와주다,Verb,0.45
삐뚤어지다,Verb,-0.475
때리다,Verb,-0.25
어려워지다,Verb,-0.25
엇갈리다,Verb,-0.35
솔직담백하다,Adjective,0.6
없애다,Verb,-0.2
당하다,Adjective,-0.275
저렴하다,Adjective,0.25
몰려들다,Verb,-0.125
신나다,Adjective,0.825
우습다,Adjective,-0.225
살아가다,Verb,0.375
잘살다,Verb,0.5
둔하다,Adjective,-0.325
바꾸다,Verb,0.2
들먹이다,Verb,-0.1
다물다,Verb,-0.05
다지다,Verb,0.175
이루다,Verb,0.6
파이다,Verb,-0.3
깜짝이다,Verb,0.138888889
발기다,Verb,-0.2
차분해지다,Verb,0.35
우물거리다,Verb,-0.175
잡히다,Verb,-0.125
다그치다,Verb,-0.275
편리하다,Adjective,0.775
참신하다,Adjective,0.55
무심하다,Adjective,-0.2
부추기다,Verb,-0.05
해내다,Verb,0.575
분주하다,Adjective,-0.175
아른아른하다,Verb,0.222222222
불거지다,Verb,-0.15
돋아나다,Verb,0.225
둘러싸이다,Verb,0.1
퍼지다,Verb,0
침통하다,Adjective,-0.275
심각해지다,Verb,-0.375
소상하다,Adjective,0.025
인정받다,Verb,0.5
애매모호하다,Adjective,-0.325
천하다,Adjective,-0.275
수줍다,Adjective,0.025
벙하다,Adjective,-0.175
평화스럽다,Adjective,0.725
호리호리하다,Adjective,0.194444444
평평하다,Adjective,-0.05
공손하다,Adjective,0.35
얼얼하다,Adjective,-0.1
느껴지다,Verb,0.275
내리쬐다,Verb,0.025
간략하다,Adjective,0.3
뻐근하다,Adjective,-0.325
감추다,Verb,-0.3
앙상하다,Adjective,-0.325
속절없다,Adjective,-0.375
낮아지다,Verb,-0.225
